dataset_name,subject,side_label_name,pattern_label,window_count,side_coeff,side_entropy,basis_usage_b8,basis_usage_b9,basis_usage_b10,basis_activation_b9,basis_activation_b10,free_l1_dominant_basis,side_dominant_basis,metric,direction,rank,free_l1_b5_minus_b6
IMR,257,Normal,normal_like_b9_b10_negative,1,-26.4040584564209,0.7026027180445114,0.003206550842151,0.4281392395496368,0.5686542391777039,-11.30461311340332,-15.014780044555664,5,10,side_coeff,bottom,3,
IMR,357,Normal,normal_like_b9_b10_negative,1,-24.93918800354004,0.7095612338739143,0.0042408863082528,0.4346719086170196,0.5610872507095337,-10.840364456176758,-13.993060111999512,5,10,side_coeff,bottom,4,
IMR,414,Normal,normal_like_b9_b10_negative,1,-23.88985252380371,0.6839538783071004,0.0056244423612952,0.3570469319820404,0.6373286247253418,-8.52979850769043,-15.22568702697754,5,10,side_coeff,bottom,5,
IMR,249,Normal,normal_like_b9_b10_negative,1,-23.71940422058105,0.681722802210262,0.0055205039680004,0.3540806770324707,0.6403988599777222,-8.398582458496094,-15.189879417419434,5,10,side_coeff,bottom,6,
IMR,411,Normal,normal_like_b9_b10_negative,1,-23.23187255859375,0.689587097824034,0.0060101626440882,0.3638225495815277,0.6301673054695129,-8.452279090881348,-14.63996696472168,5,10,side_coeff,bottom,7,
IMR,552,Normal,normal_like_b9_b10_negative,1,-23.1944580078125,0.6968383016838628,0.0061859940178692,0.3761406540870666,0.6176733374595642,-8.72437858581543,-14.326598167419434,5,10,side_coeff,bottom,8,
IMR,535,Normal,normal_like_b9_b10_negative,1,-22.976186752319336,0.7037981702847644,0.0068966820836067,0.3839361071586609,0.609167218208313,-8.82138729095459,-13.996339797973633,5,10,side_coeff,bottom,9,
IMR,361,Normal,normal_like_b9_b10_negative,1,-22.8997745513916,0.7132101903175148,0.0064618056640028,0.4121676981449127,0.5813704133033752,-9.438547134399414,-13.313251495361328,5,10,side_coeff,bottom,10,
IMR,295,Right,right_like_diffuse_low_coeff,1,-0.0737557262182235,1.0960762159841613,0.3346763849258423,0.3036577403545379,0.361665815114975,-0.0223964974284172,-0.0266749244183301,5,10,side_entropy,top,1,
IMR,335,Right,right_like_diffuse_low_coeff,1,-0.0537842065095901,1.0960570698216316,0.3315081298351288,0.3050829172134399,0.3634089827537536,-0.0164086427539587,-0.0195456631481647,5,10,side_entropy,top,2,
IMR,511,Right,right_like_diffuse_low_coeff,1,-0.0649179369211196,1.0960407295459225,0.3296792209148407,0.3059932887554168,0.36432746052742,-0.0198644530028104,-0.0236513875424861,5,10,side_entropy,top,3,
IMR,539,Right,right_like_diffuse_low_coeff,1,-0.0938233956694603,1.0959498052269887,0.3255614638328552,0.3080513775348663,0.366387128829956,-0.0289024263620376,-0.0343756861984729,6,10,side_entropy,top,4,
IMR,338,Right,right_like_diffuse_low_coeff,1,-0.0669482573866844,1.0959249048227733,0.3337058424949646,0.3032474815845489,0.363046646118164,-0.0203018896281719,-0.0243053399026393,5,10,side_entropy,top,5,
IMR,512,Right,right_like_diffuse_low_coeff,1,-0.0677913725376129,1.0959143421159503,0.3386403620243072,0.3011823892593384,0.360177218914032,-0.0204175673425197,-0.024416908621788,5,10,side_entropy,top,6,
IMR,514,Right,right_like_diffuse_low_coeff,1,-0.3066328167915344,1.0958652247141054,0.3167184889316559,0.3147385418415069,0.3685429394245147,-0.0965091660618782,-0.1130073592066764,5,10,side_entropy,top,7,
IMR,340,Right,right_like_diffuse_low_coeff,1,-0.0360930673778057,1.095828379385789,0.3371793329715729,0.3012383878231048,0.3615823686122894,-0.0108726173639297,-0.0130506167188286,5,10,side_entropy,top,8,
IMR,541,Right,right_like_diffuse_low_coeff,1,-0.0563296340405941,1.0957577647123877,0.3393109738826751,0.3000920414924621,0.3605969548225403,-0.0169040746986866,-0.0203122943639755,5,10,side_entropy,top,9,
IMR,289,Right,right_like_diffuse_low_coeff,1,-0.0284813214093446,1.0956185771178943,0.3265520334243774,0.3055518567562103,0.3678961098194122,-0.0087025202810764,-0.0104781677946448,5,10,side_entropy,top,10,
IMR,300,Left,left_like_b10_pure_positive,1,41.18928909301758,3.1108380655056495e-07,1.8033120829930027e-10,1.71721623587473e-08,1.0,7.073091410347843e-07,41.18928909301758,5,10,side_entropy,bottom,1,
IMR,314,Left,left_like_b10_pure_positive,1,38.95344161987305,7.786752092566316e-07,6.110540962112053e-10,4.528051888996743e-08,1.0,1.7638320741752975e-06,38.95344161987305,5,10,side_entropy,bottom,2,
IMR,391,Left,left_like_b10_pure_positive,1,37.55153274536133,1.5186034344331717e-06,1.347765121728628e-09,8.421584851703302e-08,0.9999998807907104,3.1624342682334827e-06,37.55152893066406,6,10,side_entropy,bottom,3,
IMR,311,Left,left_like_b10_pure_positive,1,37.38528823852539,1.6080446526914405e-06,1.4780804358238695e-09,8.991271727154526e-08,0.9999998807907104,3.3614128369663376e-06,37.385284423828125,5,10,side_entropy,bottom,4,
IMR,309,Left,left_like_b10_pure_positive,1,37.26752853393555,1.7054863312469257e-06,1.5885974757878783e-09,9.61870512128371e-08,0.9999998807907104,3.584653768484713e-06,37.26752471923828,5,10,side_entropy,bottom,5,
IMR,313,Left,left_like_b10_pure_positive,1,37.00202560424805,1.7671774065851689e-06,1.6847496731031695e-09,1.0014048967832424e-07,0.9999998807907104,3.7054010135761928e-06,37.00202178955078,5,10,side_entropy,bottom,6,
IMR,319,Left,left_like_b10_pure_positive,1,36.66867065429688,2.0808589212062904e-06,2.0996824279251314e-09,1.2049565611960136e-07,0.9999998807907104,4.418415755935712e-06,36.66866683959961,6,10,side_entropy,bottom,7,
IMR,315,Left,left_like_b10_pure_positive,1,36.38846206665039,2.3491630818288274e-06,2.4830315581425566e-09,1.3806122467485693e-07,0.9999998807907104,5.02383545608609e-06,36.388458251953125,5,10,side_entropy,bottom,8,
IMR,321,Left,left_like_b10_pure_positive,1,35.9106559753418,2.8207013116581198e-06,3.157092809402684e-09,1.693027087412702e-07,0.9999998807907104,6.079771537770284e-06,35.91065216064453,5,10,side_entropy,bottom,9,
IMR,312,Left,left_like_b10_pure_positive,1,33.44842529296875,8.654814983107945e-06,1.3997041747870752e-08,5.409324899119383e-07,0.9999994039535522,1.8093340258928947e-05,33.44840621948242,5,10,side_entropy,bottom,10,
