group_id,subject,dataset_name,side_label,side_label_name,dataset_label,side_coeff_mean,side_coeff_abs_mean,side_recon_l1_mean,usage_b0,rep_b0,usage_b1,rep_b1,usage_b2,rep_b2
IMR:00273:x:group042,00273,IMR,0,Left,0,28.26255989074707,28.26255989074707,0.1826336681842804,1.6760014887040597e-07,4.736809387395624e-06,3.8380981095542666e-06,0.00010847447993000969,0.9999959468841553,28.2624454498291
IMR:00274:x:group043,00274,IMR,0,Left,0,24.0262508392334,24.0262508392334,0.15525475144386292,1.8438998949932284e-06,4.4301999878371134e-05,2.5900582841131836e-05,0.0006222939118742943,0.9999722242355347,24.025583267211914
IMR:00275:x:group044,00275,IMR,1,Normal,0,-27.435178756713867,27.435178756713867,0.11011660844087601,0.002738025039434433,-0.07511820644140244,0.4122033417224884,-11.30887222290039,0.5850586295127869,-16.05118751525879
IMR:00276:x:group045,00276,IMR,2,Right,0,-0.07242371886968613,0.07242371886968613,0.00019653807976283133,0.34337660670280457,-0.024868611246347427,0.2963806390762329,-0.021464988589286804,0.36024269461631775,-0.026090115308761597
IMR:00277:x:group046,00277,IMR,2,Right,0,0.023680835962295532,0.023680835962295532,6.60535879433155e-05,0.34120410680770874,0.008079998195171356,0.2854481041431427,0.006759649608284235,0.37334784865379333,0.008841189555823803
IMR:00278:x:group047,00278,IMR,2,Right,0,-0.2574927508831024,0.2574927508831024,0.0007190751493908465,0.317702978849411,-0.08180621266365051,0.3082689940929413,-0.07937703281641006,0.3740280270576477,-0.09630950540304184
IMR:00279:x:group048,00279,IMR,2,Right,0,-0.07822046428918839,0.07822046428918839,0.000212299230042845,0.34184926748275757,-0.026739608496427536,0.29783353209495544,-0.023296676576137543,0.360317200422287,-0.028184179216623306
IMR:00280:x:group049,00280,IMR,2,Right,0,-0.07528646290302277,0.07528646290302277,0.0002078626857837662,0.374119371175766,-0.02816612459719181,0.25761380791664124,-0.019394831731915474,0.3682668209075928,-0.02772550657391548
IMR:00281:x:group008,00281,IMR,2,Right,0,-0.06843318045139313,0.06843318045139313,0.00018902099691331387,0.3694117069244385,-0.025280017405748367,0.26209449768066406,-0.01793595962226391,0.3684937357902527,-0.025217197835445404
IMR:00282:x:group050,00282,IMR,2,Right,0,-0.07595190405845642,0.07595190405845642,0.00020906188001390547,0.37527996301651,-0.02850322797894478,0.2579135000705719,-0.019589021801948547,0.3668065071105957,-0.027859652414917946
IMR:00283:x:group051,00283,IMR,2,Right,0,-0.07120755314826965,0.07120755314826965,0.00019647370208986104,0.36544209718704224,-0.026022236794233322,0.2665551006793976,-0.018980735912919044,0.3680028021335602,-0.026204578578472137
IMR:00284:x:group052,00284,IMR,2,Right,0,-0.056791938841342926,0.056791938841342926,0.00015495417756028473,0.37947404384613037,-0.021551067009568214,0.25791385769844055,-0.014647427946329117,0.3626120984554291,-0.020593443885445595
IMR:00285:x:group053,00285,IMR,2,Right,0,0.011318095028400421,0.011318095028400421,3.178145198035054e-05,0.32830461859703064,0.003715782891958952,0.29504668712615967,0.0033393665216863155,0.3766486942768097,0.004262945614755154
IMR:00286:x:group054,00286,IMR,2,Right,0,-0.0670403316617012,0.0670403316617012,0.0001850714470492676,0.36063894629478455,-0.02417735382914543,0.2710861563682556,-0.0181737057864666,0.36827483773231506,-0.024689266458153725
IMR:00287:x:group055,00287,IMR,2,Right,0,-0.06696280837059021,0.06696280837059021,0.00018499052384868264,0.37950122356414795,-0.02541246823966503,0.25197815895080566,-0.01687316596508026,0.3685206174850464,-0.024677176028490067
IMR:00288:x:group056,00288,IMR,2,Right,0,-0.05877266079187393,0.05877266079187393,0.0001625848817639053,0.3466125428676605,-0.020371342077851295,0.284047931432724,-0.01669425331056118,0.3693394958972931,-0.021707065403461456
IMR:00289:x:group057,00289,IMR,2,Right,0,-0.028481321409344673,0.028481321409344673,7.853573333704844e-05,0.32655203342437744,-0.00930063333362341,0.3055518567562103,-0.008702520281076431,0.36789610981941223,-0.010478167794644833
IMR:00290:x:group058,00290,IMR,2,Right,0,-0.05109976977109909,0.05109976977109909,0.00013888398825656623,0.3816795349121094,-0.01950373686850071,0.2575472295284271,-0.013160604052245617,0.3607731759548187,-0.01843542605638504
IMR:00291:x:group059,00291,IMR,2,Right,0,-0.07194359600543976,0.07194359600543976,0.00019739745766855776,0.3725946843624115,-0.026805801317095757,0.262103796005249,-0.01885668933391571,0.3653014898300171,-0.026281103491783142
IMR:00292:x:group060,00292,IMR,2,Right,0,-0.05131157115101814,0.05131157115101814,0.00013931913417764008,0.3606175184249878,-0.01850385218858719,0.27897506952285767,-0.014314648695290089,0.36040744185447693,-0.01849307119846344
IMR:00293:x:group061,00293,IMR,2,Right,0,-0.06527438759803772,0.06527438759803772,0.0001800410245778039,0.3755050301551819,-0.024510860443115234,0.2567094564437866,-0.016756553202867508,0.3677855432033539,-0.024006975814700127
IMR:00294:x:group062,00294,IMR,1,Normal,0,-12.708282470703125,12.708282470703125,0.049204159528017044,0.042855404317379,-0.5446186065673828,0.3953348994255066,-5.024027347564697,0.5618096590042114,-7.139636039733887
IMR:00295:x:group009,00295,IMR,2,Right,0,-0.07375572621822357,0.07375572621822357,0.0002007411967497319,0.3346763849258423,-0.024684300646185875,0.30365774035453796,-0.022396497428417206,0.361665815114975,-0.026674924418330193
IMR:00296:x:group063,00296,IMR,2,Right,0,-0.06576763838529587,0.06576763838529587,0.00018140196334570646,0.359170526266098,-0.023621797561645508,0.272957980632782,-0.017951801419258118,0.3678715229034424,-0.02419404126703739
IMR:00297:x:group064,00297,IMR,2,Right,0,-0.020443808287382126,0.020443808287382126,5.6099444918800145e-05,0.3381704092025757,-0.0069134910590946674,0.29630374908447266,-0.006057577207684517,0.3655258119106293,-0.007472739554941654
IMR:00298:x:group065,00298,IMR,2,Right,0,1.012699007987976,1.012699007987976,0.0035593481734395027,0.23998485505580902,0.24303242564201355,0.26063206791877747,0.26394182443618774,0.49938303232192993,0.5057247281074524
IMR:00299:x:group010,00299,IMR,2,Right,0,-0.07238519191741943,0.07238519191741943,0.00019622156105469912,0.3495867848396301,-0.02530490607023239,0.29070761799812317,-0.021042926236987114,0.3597055971622467,-0.02603735961019993
IMR:00300:x:group066,00300,IMR,0,Left,0,41.18928909301758,41.18928909301758,0.2661677300930023,1.8033120829930027e-10,7.427714443508648e-09,1.71721623587473e-08,7.073091410347843e-07,1.0,41.18928909301758
IMR:00301:x:group011,00301,IMR,0,Left,0,27.002626419067383,27.002626419067383,0.17449121177196503,4.1692496210998797e-07,1.1258069207542576e-05,7.735089639027137e-06,0.00020886774291284382,0.9999918937683105,27.00240707397461
IMR:00302:x:group067,00302,IMR,0,Left,0,31.152820587158203,31.152820587158203,0.20131121575832367,4.230451366993293e-08,1.3179048892197898e-06,1.303700514654338e-06,4.061394793097861e-05,0.9999986886978149,31.152780532836914
IMR:00303:x:group068,00303,IMR,0,Left,0,28.75389289855957,28.75389289855957,0.1858087182044983,1.644329756800289e-07,4.7280882427003235e-06,3.70900329471624e-06,0.00010664828005246818,0.9999961853027344,28.753782272338867
